dataset,dataset_variant,file,ablation_variant,psnr,ssim,lpips,lpips_resize
LOL-v1,,669.png,without_tapetum_update,11.103320786491286,0.6661524176597595,0.2742427587509155,0.22902747988700867
LOL-v1,,669.png,without_attention_modulation,25.959185819787844,0.8911787271499634,0.12290948629379272,0.08749852329492569
LOL-v1,,669.png,without_spatial_amplification,11.104208601577774,0.6663967370986938,0.27416491508483887,0.22922968864440918
LOL-v1,,669.png,without_high_frequency_cue,25.959241650588922,0.8911788463592529,0.12290418893098831,0.08749650418758392
LOL-v1,,669.png,without_darkness_gate,21.728815490522738,0.8699687719345093,0.1493634134531021,0.1119692474603653
LOL-v1,,748.png,full,20.99473021372799,0.8833909034729004,0.11125776916742325,0.10123421251773834
LOL-v1,,748.png,retinex_base_only,12.967132841999263,0.5643050074577332,0.2538723349571228,0.2149610072374344
LOL-v1,,748.png,without_residual_refinement,27.127717349115233,0.9010680913925171,0.10273422300815582,0.09341484308242798
LOL-v1,,748.png,without_tapetum_update,16.390916499014754,0.7579624056816101,0.21331939101219177,0.18032215535640717
LOL-v1,,748.png,without_attention_modulation,20.994594425558223,0.8833891749382019,0.11125543713569641,0.10123467445373535
LOL-v1,,748.png,without_spatial_amplification,16.39196247636745,0.7578746676445007,0.21347680687904358,0.18058420717716217
LOL-v1,,748.png,without_high_frequency_cue,20.99473021372799,0.8833907842636108,0.11125781387090683,0.10123423486948013
LOL-v1,,748.png,without_darkness_gate,17.619780617208317,0.8469477295875549,0.13568994402885437,0.12435474991798401
LOL-v1,,778.png,full,23.024537594004144,0.7879698276519775,0.15584857761859894,0.12755641341209412
LOL-v1,,778.png,retinex_base_only,11.570384984121521,0.3775821626186371,0.3130764663219452,0.2948935329914093
LOL-v1,,778.png,without_residual_refinement,20.91775055886085,0.7456003427505493,0.16272278130054474,0.13237416744232178
LOL-v1,,778.png,without_tapetum_update,14.008311737138776,0.5828199982643127,0.27975398302078247,0.2576168179512024
LOL-v1,,778.png,without_attention_modulation,23.024418697282307,0.7879683971405029,0.15585076808929443,0.12755748629570007
LOL-v1,,778.png,without_spatial_amplification,14.016749158019861,0.5837534070014954,0.27923569083213806,0.25729694962501526
LOL-v1,,778.png,without_high_frequency_cue,23.02453597081879,0.7879694700241089,0.15584959089756012,0.12755653262138367
LOL-v1,,778.png,without_darkness_gate,20.480236248430717,0.778697669506073,0.16721822321414948,0.13823789358139038
LOL-v1,,780.png,full,19.513542950879643,0.7559029459953308,0.1367485523223877,0.10016636550426483
LOL-v1,,780.png,retinex_base_only,14.916796494408434,0.5408459901809692,0.254229873418808,0.2027117908000946
LOL-v1,,780.png,without_residual_refinement,24.762590361907133,0.7848432660102844,0.12968461215496063,0.09066594392061234
LOL-v1,,780.png,without_tapetum_update,18.297314796220764,0.7116175293922424,0.20041875541210175,0.1559704840183258
LOL-v1,,780.png,without_attention_modulation,19.513495218808302,0.7559019923210144,0.13674937188625336,0.1001671552658081
LOL-v1,,780.png,without_spatial_amplification,18.301759592212868,0.7117535471916199,0.2000695765018463,0.1560082584619522
LOL-v1,,780.png,without_high_frequency_cue,19.513540419620263,0.7559029459953308,0.13674846291542053,0.10016607493162155
LOL-v1,,780.png,without_darkness_gate,17.488962683178606,0.7305008769035339,0.1548188030719757,0.11889512836933136
LOL-v1,,79.png,full,17.998050966358367,0.9035245180130005,0.09164519608020782,0.05872137099504471
LOL-v1,,79.png,retinex_base_only,6.65668524050962,0.41725921630859375,0.34250208735466003,0.25804603099823
LOL-v1,,79.png,without_residual_refinement,13.77889726609216,0.8459320664405823,0.11647729575634003,0.08037479221820831
LOL-v1,,79.png,without_tapetum_update,8.243621804809608,0.5846908688545227,0.27938583493232727,0.20712025463581085
LOL-v1,,79.png,without_attention_modulation,17.99806933271245,0.90352463722229,0.09164514392614365,0.05872127413749695
LOL-v1,,79.png,without_spatial_amplification,8.243881806454658,0.584677517414093,0.2794036269187927,0.20724229514598846
LOL-v1,,79.png,without_high_frequency_cue,17.99805147653382,0.9035245180130005,0.09164515137672424,0.05872146040201187
LOL-v1,,79.png,without_darkness_gate,23.119466001796614,0.9144678115844727,0.08345364779233932,0.057799067348241806
